Venue Info,Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,AUSDCPW01,21285606,"86"" Digital Portrait - Austin - AUSDCPW01",22.305531,114.16614,1080,1920,1,1080x1920,09:16,,Austin - AUS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,AUSDPCW02,21285607,"86"" Digital Portrait - Austin - AUSDPCW02",22.305531,114.16614,1080,1920,1,1080x1920,09:16,,Austin - AUS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,ETSDPCW01,21285613,"86"" Digital Portrait - East Tsim Sha Tsui - ETSDPCW01",22.294954,114.173501,1080,1920,1,1080x1920,09:16,,East Tsim Sha Tsui - ETS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,ETSDPCW02,21285614,"86"" Digital Portrait - East Tsim Sha Tsui - ETSDPCW02",22.294954,114.173501,1080,1920,1,1080x1920,09:16,,East Tsim Sha Tsui - ETS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,ETSDPCW03,21285615,"86"" Digital Portrait - East Tsim Sha Tsui - ETSDPCW03",22.294954,114.173501,1080,1920,1,1080x1920,09:16,,East Tsim Sha Tsui - ETS,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HOMDPCW01W,21285618,"86"" Digital Portrait - Ho Man Tin - HOMDPCW01W",22.309467,114.182733,1080,1920,1,1080x1920,09:16,,Ho Man Tin - HOM,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HOMDPCW02W,21285619,"86"" Digital Portrait - Ho Man Tin - HOMDPCW02W",22.309467,114.182733,1080,1920,1,1080x1920,09:16,,Ho Man Tin - HOM,Kowloon City,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDPCW001,21285620,"86"" Digital Portrait - Hung Hom - HUHDPCW001",22.30294,114.181944,1080,1920,1,1080x1920,09:16,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDPCW002,21285621,"86"" Digital Portrait - Hung Hom - HUHDPCW002",22.30294,114.181944,1080,1920,1,1080x1920,09:16,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
Bravo - Tuen Ma Line and East Railway Line,Transit > Train Stations > Platform,Bravo Media HK,HUHDPCW003,21285622,"86"" Digital Portrait - Hung Hom - HUHDPCW003",22.30294,114.181944,1080,1920,1,1080x1920,09:16,,Hung Hom - HUH,Yau Tsim Mong,Kowloon,15,All / Universal,No,Yes,,Hong Kong
