Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
Transit > Subway,Moove Media SG,829350906,19936183,Dhoby Ghaut Wonderwall,1.298943,103.845501,1216,800,1,1216 x 800,1.52,Landscape,Dhoby Ghaut Wonderwall,Dhoby Ghaut,Central Region,15,All / Universal,1,1,238826,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_5012,21198308,SA_BST_C_TF_5012_Eu Tong Sen St._Before Pearl's Hill Terr,1.28147,103.84082,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5012_C,SA_BST_5012_C,People'S Park,10,All / Universal,1,0,59820,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5019,21198309,SA_BST_A_TF_5019_New Bridge Road_After Duxton Plain Park,1.28123,103.84111,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5019_A,SA_BST_5019_A,Chinatown,10,All / Universal,1,0,88757,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_5039,21198310,SA_BST_A_TF_5039_New Bridge Road_New Bridge Centre,1.2829,103.84251,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5039_A,SA_BST_5039_A,Chinatown,10,All / Universal,1,0,50336,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_6069,21198313,SA_BST_A_TF_6069_Outram Road_After Furama RiverFront,1.2863,103.83498,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_6069_A,SA_BST_6069_A,Pearl'S Hill,10,All / Universal,1,0,169051,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_1019,21198317,SA_BST_A_TF_1019_Victoria Street_Bras Basah Complex,1.29699,103.85302,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_1019_A,SA_BST_1019_A,Bugis,10,All / Universal,1,0,188899,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_1029,21198318,SA_BST_A_TF_1029_North Bridge Road_Opposite National Library,1.2968,103.85447,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_1029_A,SA_BST_1029_A,Bugis,10,All / Universal,1,0,188726,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C-Parallel_TF_5199,21198322,SA_BST_C-Parallel_TF_5199_South Bridge Road Road_Opposite Hong Lim Complex,1.28451,103.84669,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5199_C-Parallel,SA_BST_5199_C-Parallel,China Square,10,All / Universal,1,0,48421,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_D-Parallel_PF_5199,21198323,SA_BST_D-Parallel_PF_5199_South Bridge Road Road_Opposite Hong Lim Complex,1.28451,103.84668,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_5199_D-Parallel,SA_BST_5199_D-Parallel,China Square,10,All / Universal,1,1,48421,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_4121,21198324,SA_BST_C_TF_4121_Stamford Road_SMU,1.29615,103.84964,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_4121_C,SA_BST_4121_C,Bras Basah,10,All / Universal,1,0,178900,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_8079,21198325,SA_BST_A_TF_8079_Sch of the Arts_Prinsep St,1.29911,103.84902,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_8079_A,SA_BST_8079_A,Dhoby Ghaut,10,All / Universal,1,0,227968,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_C_TF_8041,21198328,SA_BST_C_TF_8041_Orchard Road_YMCA,1.29806,103.84784,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_8041_C,SA_BST_8041_C,Bras Basah,10,All / Universal,1,0,238824,SG Breakdown B1
Outdoor > Bus Shelters,Stellar Ace SG,SA_BST_A_TF_8031,21198329,SA_BST_A_TF_8031_Penang Road_Dhoby Ghaut Station Exit B,1.29839,103.84524,2160,3840,1,2160 x 3840,0.5625,Portrait,SA_BST_8031_A,SA_BST_8031_A,Dhoby Ghaut,10,All / Universal,1,0,238459,SG Breakdown B1
