Venue Info,Venue type,Media owner,Screen ID,Unit ID,Screen name,Screen latitude,Screen longitude,Screen width (px),Screen height (px),Physical screen count,Dimensions (W x H),Aspect ratio,Orientation,Site name,Site location (city),Site region (state),Spot length,Allowed languages,Allow Image,Allow Video,Zip code,Country
JCD - HKM Network,Ultra Digital Portrait Network,JCDecaux - HKM,CENSDC001,CENSDC001,CENSDC001,22.2821,114.1578,2160,3840,1,2160x3840,09:16,,Central_CENSDC001,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Ultra Digital Portrait Network,JCDecaux - HKM,CENSDC002,CENSDC002,CENSDC002,22.2821,114.1578,2160,3840,1,2160x3840,09:16,,Central_CENSDC002,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Trackside Digital Landscape Network,JCDecaux - HKM,CENDMP301,CENDMP301,CENDMP301,22.282165,114.157778,1920,1080,1,1920x1080,16:09,,Central_CENDMP301,Central,HK,30,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,CENDMC001,CENDMC001,CENDMC001,22.281964,114.158249,1920,1080,1,1920x1080,16:09,,Central_CENDMC001,Central,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,CENDMC002,CENDMC002,CENDMC002,22.281964,114.158249,1920,1080,1,1920x1080,16:09,,Central_CENDMC002,Central,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,CENDMC003,CENDMC003,CENDMC003,22.281964,114.158249,1920,1080,1,1920x1080,16:09,,Central_CENDMC003,Central,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,CENDMC004,CENDMC004,CENDMC004,22.281964,114.158249,1920,1080,1,1920x1080,16:09,,Central_CENDMC004,Central,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,CENDMC005,CENDMC005,CENDMC005,22.281964,114.158249,1920,1080,1,1920x1080,16:09,,Central_CENDMC005,Central,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC007A,CENDPC007A,CENDPC007A,22.282619,114.157836,1080,1920,1,1080x1920,09:16,,Central_CENDPC007A,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC007B,CENDPC007B,CENDPC007B,22.282619,114.157836,1080,1920,1,1080x1920,09:16,,Central_CENDPC007B,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC009A,CENDPC009A,CENDPC009A,22.281848,114.158609,1080,1920,1,1080x1920,09:16,,Central_CENDPC009A,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC009B,CENDPC009B,CENDPC009B,22.281848,114.158609,1080,1920,1,1080x1920,09:16,,Central_CENDPC009B,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC008A,CENDPC008A,CENDPC008A,22.282677,114.157857,1080,1920,1,1080x1920,09:16,,Central_CENDPC008A,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC008B,CENDPC008B,CENDPC008B,22.282677,114.157857,1080,1920,1,1080x1920,09:16,,Central_CENDPC008B,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Trackside Digital Landscape Network,JCDecaux - HKM,CENDMP302,CENDMP302,CENDMP302,22.28198,114.158683,1920,1080,1,1920x1080,16:09,,Central_CENDMP302,Central,HK,30,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC006A,CENDPC006A,CENDPC006A,22.282725,114.15757,1080,1920,1,1080x1920,09:16,,Central_CENDPC006A,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC006B,CENDPC006B,CENDPC006B,22.282725,114.15757,1080,1920,1,1080x1920,09:16,,Central_CENDPC006B,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC005A,CENDPC005A,CENDPC005A,22.282687,114.157473,1080,1920,1,1080x1920,09:16,,Central_CENDPC005A,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC005B,CENDPC005B,CENDPC005B,22.282687,114.157473,1080,1920,1,1080x1920,09:16,,Central_CENDPC005B,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC001A,CENDPC001A,CENDPC001A,22.284679,114.158159,1080,1920,1,1080x1920,09:16,,Central_CENDPC001A,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,CENDPC001B,CENDPC001B,CENDPC001B,22.284679,114.158159,1080,1920,1,1080x1920,09:16,,Central_CENDPC001B,Central,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,HOKDMC001,HOKDMC001,HOKDMC001,22.284679,114.158159,1920,1080,1,1920x1080,16:09,,Hong Kong_HOKDMC001,Hong Kong,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,HOKDMC002,HOKDMC002,HOKDMC002,22.284679,114.158159,1920,1080,1,1920x1080,16:09,,Hong Kong_HOKDMC002,Hong Kong,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,HOKDMC003,HOKDMC003,HOKDMC003,22.284679,114.158159,1920,1080,1,1920x1080,16:09,,Hong Kong_HOKDMC003,Hong Kong,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,AEL Digital Portrait Zone,JCDecaux - HKM,HOKDPC013,HOKDPC013,HOKDPC013,22.284679,114.158159,1080,1920,1,1080x1920,09:16,,Hong Kong_HOKDPC013,Hong Kong,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,AEL Digital Portrait Zone,JCDecaux - HKM,HOKDPC014,HOKDPC014,HOKDPC014,22.284679,114.158159,1080,1920,1,1080x1920,09:16,,Hong Kong_HOKDPC014,Hong Kong,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,AEL Digital Portrait Zone,JCDecaux - HKM,HOKDPC015,HOKDPC015,HOKDPC015,22.284679,114.158159,1080,1920,1,1080x1920,09:16,,Hong Kong_HOKDPC015,Hong Kong,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,AEL Digital Portrait Zone,JCDecaux - HKM,HOKDPC016,HOKDPC016,HOKDPC016,22.284679,114.158159,1080,1920,1,1080x1920,09:16,,Hong Kong_HOKDPC016,Hong Kong,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Trackside Digital Landscape Network,JCDecaux - HKM,QUBDMP301,QUBDMP301,QUBDMP301,22.288667,114.208637,1920,1080,1,1920x1080,16:09,,Quarry Bay_QUBDMP301,Quarry Bay,HK,30,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Ultra Digital Portrait Network,JCDecaux - HKM,QUBSDC001,QUBSDC001,QUBSDC001,22.2886,114.2087,2160,3840,1,2160x3840,09:16,,Quarry Bay_QUBSDC001,Quarry Bay,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Trackside Digital Landscape Network,JCDecaux - HKM,QUBDMP302,QUBDMP302,QUBDMP302,22.288493,114.208771,1920,1080,1,1920x1080,16:09,,Quarry Bay_QUBDMP302,Quarry Bay,HK,30,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Trackside Digital Landscape Network,JCDecaux - HKM,QUBDMP202,QUBDMP202,QUBDMP202,22.289233,114.209235,1920,1080,1,1920x1080,16:09,,Quarry Bay_QUBDMP202,Quarry Bay,HK,30,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,QUBDPC002A,QUBDPC002A,QUBDPC002A,22.287865,114.209718,1080,1920,1,1080x1920,09:16,,Quarry Bay_QUBDPC002A,Quarry Bay,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Digital Portrait Network,JCDecaux - HKM,QUBDPC002B,QUBDPC002B,QUBDPC002B,22.287865,114.209718,1080,1920,1,1080x1920,09:16,,Quarry Bay_QUBDPC002B,Quarry Bay,HK,10,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,QUBDMC001,QUBDMC001,QUBDMC001,22.287921,114.209727,1920,1080,1,1920x1080,16:09,,Quarry Bay_QUBDMC001,Quarry Bay,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Concourse Digital Landscape Network,JCDecaux - HKM,QUBDMC002,QUBDMC002,QUBDMC002,22.287921,114.209727,1920,1080,1,1920x1080,16:09,,Quarry Bay_QUBDMC002,Quarry Bay,HK,15,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
JCD - HKM Network,Trackside Digital Landscape Network,JCDecaux - HKM,QUBDMP101,QUBDMP101,QUBDMP101,22.288441,114.209672,1920,1080,1,1920x1080,16:09,,Quarry Bay_QUBDMP101,Quarry Bay,HK,30,"English,漢語 (Chinese (Traditional))",Yes,Yes,,Hong Kong
